RecordedDate,DistributionChannel,UserLanguage,Q2,Q18,Q19,Q20,Q21,Q70,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8,Q8_1_TEXT,Q8_2_TEXT,Q8_3_TEXT,Q9,Q9_1_TEXT,Q9_2_TEXT,Q9_3_TEXT,Q10,Q11,Q12,Q31,Q31_5_TEXT,Q32,Q15,Q34,Q35_1,Q35_2,Q35_3,Q17,Q24,Q69,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10,Q42,Q42_1_TEXT,Q42_2_TEXT,Q42_3_TEXT,Q43,Q43_1_TEXT,Q43_2_TEXT,Q43_3_TEXT,Q44,Q45,Q46,Q62,Q62_5_TEXT,Q63,Q49,Q65,Q66_1,Q66_2,Q66_3,Q52,Q53,Q71,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q26,Q26_1_TEXT,Q26_2_TEXT,Q26_3_TEXT,Q27,Q27_1_TEXT,Q27_2_TEXT,Q27_3_TEXT,Q28,Q29,Q30,Q13,Q13_3_TEXT,Q22,Q33,Q16,Q23_1,Q23_2,Q23_3,Q36,Q37,Q72,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q56_7,Q56_8,Q56_9,Q56_10,Q57,Q57_1_TEXT,Q57_2_TEXT,Q57_3_TEXT,Q58,Q58_1_TEXT,Q58_2_TEXT,Q58_3_TEXT,Q59,Q60,Q61,Q47,Q47_3_TEXT,Q48,Q64,Q50,Q51_1,Q51_2,Q51_3,Q67,Q68,Q14
2020-08-27 8:18,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,25,Male,USA,Walking meetings are a regular part of my routine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,4,5,4,5,4,5,4,5,4,"1,2,3",walking is good for health,none,none,"1,2,3",none,none,none,Yes,because I like ot,Daily,Planning,,"Colleague,Someone I supervise",no ,none,5,4,5,110,it is good,I have read the scenario above,5,4,5,4,3,4,4,3,4,4,"1,2,3",it is very attractive,good time,golden day,"1,2,3",none,none,none,No,because i dont like this system,Rarely if ever,Theoretical course,,Other students,no ,nothing,5,4,5,120,no i am not use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good survey
2020-08-27 7:35,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,40,Female,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",I have read the scenario above,5,3,4,3,5,4,4,3,4,2,"1,2,3",active,attentive,determined,"1,2,3",nervous,fear,noise,Yes,because its  give good energy and active mind,Weekly,Planning,,Supervisor,no change,I bring important files and important information in the meeting,4,5,4,70,family meeting and friends meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,4,3,4,4,5,4,4,4,3,"1,2,3",active,freedom,no tension,"1,2,3",nervous,danger,don't safe,Yes,I thing this system have freedom and active but its have danger,Weekly,Practical course,,Other students,same safe arrange,books and extra material,4,4,4,90,family meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good idea
2020-08-27 4:38,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,25,Male,USA,Walking meetings are a regular part of my routine,,,,,,,,,,,,,,,,,,,,,,,"Brainstorming/ideation,Planning",,Colleague,,I didnt need the meeting,3,3,4,,,I have read the scenario above,4,4,3,4,4,3,5,2,3,4,"1,2,3",Birds Flitting from the tree,Many paths spraling through the park,She was still in the loop while on Assignment,"1,2,3",She shivered dwspite the August Sun,Pigeon flew through his hologram,Amir gave Stacy an update on all the Gossip,Yes,Yes i like this system. His Augment Glasses like very much,Weekly,,,,Stacy Tapped her AR Glasses and Amir poped into view. That is unusual,,,,,130,Practical Clases,I have read the scenario above,4,3,4,3,3,2,3,4,4,3,"1,2,3",The new Lecture for his Physics Course is available,Petro Activated his augmented reality glasses and Startd the lecture,Today is beautiful Sunny day,"1,2,3",GPS location and Find himself in shadow of towering,Petro who just move there the when school started,There was an option to just retreive all the exercise,Yes,I like this System because the new lecture,Daily,,,,In the exersice we improve well,,,,,110,Exersice,,,,,,,,,,,,,,,,,,,,,,,Theoretical course,,Students I am close with,,Nothing. I didnt use any thing for it,4,3,3,,,We prepare daily to exersice and to attend the clases
2020-08-28 6:24,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,37,Female,USA,I have never participated in a walking meeting,I have read the scenario above,4,2,5,1,4,1,3,4,3,1,"1,2,3",ability of the system to take notes,recognize gestures,analysis of meeting after it is over,"1,2,3",lack of privacy ,distraction of knowing I am being monitored,focusing too much on making gestures throughout the meeting,Yes,I would because I like that afterword I would have a record of the meeting along with all of my gestures.  I like the idea of during the meeting emphasizing certain points of the meeting that I felt were important.,Weekly,"Brainstorming/ideation,Planning",,"Supervisor,Colleague,Colleagues I am close with","In the scenario, I would want to have the information necessary for any questions my supervisor has for the update on projects.",I would have brought any notes or files that my supervisor needed to update on the progress of the projects.,5,4,5,100,I would use the technology for to-do lists or for planning any projects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,1,4,1,5,1,3,2,3,1,"1,2,3",more attentive to the lecture,the lecture would hold my interest more,I can choose where I want to interact and have the lecture.,"1,2,3",a lot of distractions are possible,if I had a question that wasn't one of the most frequently asked,the possiblity of there being other people around,Yes,I think I would be more attentive in an outdoor environment.  I feel I would enjoy the lecture more.,Weekly,"Practical course,Theoretical course",,"Students I am close with,A lecturer",I would want to be able to pause the lecture and I felt it was moving too fast or I couldn't comprehend it.,I would want to bring my notes of the previous lectures and any books or ebooks pertaining to the information of the class.,4,3,4,70,I would use the technology for video chats or any kind of work meetings or presentations that I had to be a part of.,none
2020-08-27 3:46,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,29,Male,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",I have read the scenario above,5,3,4,2,4,1,4,3,4,1,"1,2,3","the use of company’s intelligent meeting assistant system, which records and transcribes meeting notes to create a personalized meeting summary based on input from the participants during the meeting",the use gestures to indicate when something important was said or if there is something they want deleted from the record.,The system also monitors engagement to find and highlight moments that seem important,"1,2,3",Kevin has cubicles and offices with no windows,Kevin's new company seems to place a firm emphasis on nature and wellbeing,Kevin was nervous because this is first time he is using the company’s intelligent meeting assistant system for an actual meeting,Yes,Because it helps to simplify a meeting without having to write,Weekly,,,,will not change anything,,,,,85,For a board meeting,,,,,,,,,,,,,,,,,,,,,,,"Planning,Detailed review of work",,"Colleague,Colleagues I am close with",,I really do not know what to bring,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Practical course,,"Other students,Students I am close with,A lecturer",,My phone to record the process,5,3,4,,,I have read the scenario above,1,1,1,1,2,5,5,3,2,4,"1,2,3","Using the AR system, the professor appears before the students as though he was really in the environment.","The AR system displays 3D models and other visual information associated with the lecture,",students are able to take note,"1,2,3",it is artificial,it is not real,there can be a network failure and cause it to break,Yes,Because it helps stimulate the presence without being physically present and make it look real,Monthly,,,,change,,,,,70,for a meeting,none
2020-08-27 8:00,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,35,Female,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,4,4,5,5,4,4,5,5,4,"1,2,3",CONFIDENCE,ACTIVE,ATTENTIVE,"1,2,3",AFRAID,NERVOUS,ASHAMED,Yes,I REALLY ENJOY THE NOVEL LECTURE FORMAT,Weekly,"Brainstorming/ideation,Planning,Detailed review of work,Regular progress update",,"Supervisor,Colleague,Someone I supervise,Colleagues I am close with",DEVELOP THE BRAINSTORMING,DETAILED REVIEW OF WORK,5,4,5,113,STUDENT LECTURE MEETING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,4,3,4,5,5,4,4,5,5,"1,2,3",ACTIVE,DETERMINED,ATTENTIVE,"1,2,3",AFRAID,NERVOUS,UPSET,Yes,I REALLY ENJOY THE NOVEL LECTURE FORMAT,Weekly,Theoretical course,,A lecturer,ADD TO MORE POSITIVE THINGS,POSITIVE THINGS,5,4,4,113,INDIVIDUAL LEARNING,INTERESTING
2020-08-27 6:42,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,30,Male,USA,Walking meetings are a regular part of my routine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,3,4,3,4,3,4,3,5,4,"1,2,3",BRIGHT,YOUNG,COOPERATION,"1,2,3",SCRUB,SHIVERED,REMOVE,Yes,The meeting system was becoming more and more like a piece of her memory system that she relied on,Daily,"Brainstorming/ideation,Detailed review of work,Regular progress update",,"Supervisor,Colleague",NOTHING,BEST SCENARIO,5,5,4,100,REMEMBER ANYTHING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,4,3,4,4,5,3,4,3,4,"1,2,3",HARD WORKING,INFORMATION,ENJOY,"1,2",STUCK,STRANGE SENSE,,Yes,"He felt a strange sense of community knowing that over 1,000 students had walked through local parks in over 30 countries to participate in his lecture this week.",Weekly,Practical course,,A lecturer,IT'S BETTER,THE SCENARIO WAS BETTER.,4,5,4,90,STUDENT,INTERESTING THIS SURVEY
2020-08-27 4:07,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,32,Female,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",I have read the scenario above,4,2,5,1,5,1,5,3,3,1,"1,2,3",Kelvin did well,At the end he became confident in his abilities,The system took his missed points ,"1,2,3",He was very nervous,He missed some important points,Being too attentive was a disadvantage,Yes,It makes work easy,Weekly,,,,nothing,,,,,60,teaching,,,,,,,,,,,,,,,,,,,,,,,Detailed review of work,,Colleague,,nothing because i believe all i need is with me,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,Theoretical course,,Students I am close with,,a watch. to know how long the meeting went,4,4,4,,,I have read the scenario above,4,2,4,1,5,1,5,3,4,1,"1,2,3",It was fun,She completed the course,She did the exercise,"1,2,3",It looks stressful,she went through a lot of exercises,She had a hard time getting used to the technology,Yes,It makes learning fun,Weekly,,,,Make to be used closed door,,,,,55,work,nothing
2020-08-27 3:48,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,55,Male,USA,I have never participated in a walking meeting,,,,,,,,,,,,,,,,,,,,,,,Other,None ,No one,,"Nothing, if I actually use the system i do not need anything else. ",2,2,2,,,I have read the scenario above,5,2,5,1,5,1,4,3,4,1,"1,2,3",realistic hologram ,recording important details of meeting,deletion feature,"1,2,3",distraction from real hazards in the world,can the company listen in?,Can third parties listen in?,No,I do not like real time phone calls so I will not like a system where the other person can see a hologram of me! I like chat systems that allow me to multitask and this is like a phone call X 10! ,Rarely if ever,,,,I cannot think of a way to make it better. ,,,,,80,Personal time with a partner that is away on a trip. ,I have read the scenario above,3,1,2,1,3,1,3,4,3,1,"1,2,3",outdoors,study when you want,lifelike,"1,2,3",real life distractions,how secure is the link?,personal safety in the park,No,I would be distracted by real life going on around me.  I would also worry about my personal safety while focusing on the lecture. ,Rarely if ever,,,,Use it from the safety of my home. ,,,,,100,I would not use it. ,,,,,,,,,,,,,,,,,,,,,,,Other,I would not use it. ,No one,,"Nothing, I am already uncomfortable with the system. ",2,2,3,,,It could be interesting to use the technology for personal reasons but I would not like it for in a school environment or business environment.  
2020-08-27 4:51,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,45,Male,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",I have read the scenario above,5,1,5,1,5,1,5,1,5,1,"1,2,3",THE FACT THAT THIS COMPANY PLACES EMPHASIS ON NATURE AND EMPLOYEE WELL BEING,THE FACT THAT THE INTELLIGENT MEETING ASSISTANT COULD DETECT GESTURES TO INDICATE WHEN THERE'S SOMETHING IMPORTANT AND ALSO SENDS OUT THE MEETING SUMMARY AND NOTES TO THE PARTICIPANT,THE ESSENCE OF THE MEETING WAS ACHIEVED AND KEVIN'S SUPERVISOR WAS IMPRESSED,"1,2,3","EARLY IN THE CONVERSATION, KEVIN MISSPOKE AND SAID INCORRECT THINGS",ITS EASIER FOR PEOPLE TO USE THE SWIPE DETECTION GESTURE TO GET THE SYSTEM TO DELETE THE SPOKEN WORDS THEY DO NOT WANT TO BE RECORDED WHICH SOME COULD USE NEGATIVELY TO CONCEAL INFORMATION,N/A,Yes,THE TECHNOLOGY USED IS UNIQUE AND MAKES IT EASIER TO MAKE REFERENCE TO PAST MEETINGS WITH THE FILING SYSTEM OF THE MEETING BEING RECORDED BY THE MEETING ASSISTANT,Daily,,,,NONE,,,,,100,FOR HIGH PROFILE MEETINGS AND PUBLIC RELATIONS,,,,,,,,,,,,,,,,,,,,,,,Regular progress update,,Supervisor,,NONE,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,Theoretical course,,A lecturer,,"NOTHING ACTUALLY...I MEAN, WHAT ELSE DO I NEED WHEN I GET A COMPREHENSIVE SUMMARY AFTERWARDS",5,5,5,,,I have read the scenario above,5,1,5,1,5,1,5,2,5,1,"1,2,3",THE PROFESSOR BEING MAPPED ONTO THE ENVIRONMENT STANDING NEXT TO HER COULD GIVE HER A FEELING THAT HE WAS THERE WITH HER IN PERSON,SHE WAS ABLE TO GET HELP FROM A VIRTUAL RECORDING OF THE PROFESSOR WHEN SHE GOT STUCK AT A POINT IN THE QUESTION,STUDENTS ALL OVER THE WORLD CAN CONNECT VIRTUALLY,"1,2,3",SHE WAS GIVEN A LONELY ENVIRONMENT WHICH WAS NOT SAME WITH THE PROFESSOR'S INITIAL MAPPING,"AT HER LOCATION, THE PARK WAS SHAPED DIFFERENTLY FROM WHAT THE PROFESSOR RECORDED WHICH IS SOMEWHAT MISINFORMING",HAVING OVER 1000 STUDENTS WALKING THROUGH LOCAL PARKS JUST TO ATTEND THIS LECTURE,No,A PARK IS NOT THE BEST LEARNING ENVIRONMENT FOR ME,Monthly,,,,GETTING TO CHOOSE A BETTER OR MORE CONDUCIVE ENVIRONMENT FOR THE LEARNING WITHOUT DISTRACTIONS,,,,,100,A HANGOUT OR FAMILY MEETING TO GET IN CONTACT WITH RELATIVES,NONE
2020-08-27 8:54,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,25,Female,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",I have read the scenario above,4,5,3,4,4,4,3,4,4,4,"1,2,3",Attentive,Alert,Active,"1,2,3",Afraid,nervous,upset,Yes,likely to use it ,Weekly,"Brainstorming/ideation,Planning",,"Supervisor,Colleague",none,to make up files and notes for the disscussion ,3,3,4,90,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,4,2,4,4,3,3,3,3,3,"1,2,3",Attentive,Active,Alert,"1,2,3",upset,nervous,Ashamed,Yes,likely to use,Weekly,Theoretical course,,"Students I am close with,A lecturer",likely to use ,to take notes,3,4,3,95,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
2020-08-27 7:54,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,47,Female,USA,I have never participated in a walking meeting,I have read the scenario above,5,1,5,1,5,1,5,1,5,1,"1,2,3",not having to manually take notes,automatic transcription that is ready in seconds,you can delete what you do not want included,"1,2,3",you can forget to highlight the important things,you need to learn gestures to emphasize points or delete them,I can not think of any other,Yes,I think it would be helpful to record the meeting and not have to take manual notes to review later about it.,Monthly,"Brainstorming/ideation,Planning,Regular progress update",,"Supervisor,Colleague,Someone I supervise",I can think of nothing.  The scenario is good and very thorough.,I would only bring myself and a bottle of water if I got a cough from walking outside.,5,5,5,75,"Planning meetings, brainstorming, growth review of company or just a meeting between friends that you want to record what was said for future reference such as recording favorite songs or memories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,1,5,1,5,1,5,1,5,1,"1,2,3",being out in nature,Exercising by walking,Seeing the professor in 3D in my own environment,"1,2,3",The professor is not live to answer questions,It may be confusing and no one is there to help,The time difference makes the course completion earlier than expeceted,No,I prefer direct interaction with people so questions can be addressed immediately and at the exact moment this is happening and with this system it is prerecorded and not live.,Rarely if ever,Theoretical course,,A lecturer,I would not change anything.  The course sounded neat how it incorporated the parks and outdoor walking,I would bring a notebook and pen as well as my phone to take pictures if necessary.  I would take notes with the notebook and pen.  ,4,3,5,100,Maybe a training video for new hirees for a job,This would be incredible technology to have in the future.  I welcome it!
2020-08-27 4:04,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,27,Female,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",I have read the scenario above,4,1,4,1,3,1,4,1,5,1,1,Deleting,,,1,Time taking,,,Yes,I like to try new things.,Monthly,,,,I would like to add a kind of preview to the technology.,,,,,85,maybe home training.,,,,,,,,,,,,,,,,,,,,,,,"Planning,Regular progress update",,"Supervisor,Colleague,Someone I supervise",,maybe some digital recording gadget.,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,Theoretical course,,A lecturer,,maybe some personal digital assistant.,4,4,4,,,I have read the scenario above,3,1,4,1,3,2,3,1,3,1,"1,2,3",walking,the professor presence,the nature,1,pond,,,Yes,I want to try something new.,Weekly,,,,I would like to add a uniform for the participant in the meeting.,,,,,85,shopping,the technologies are good and interesting.
2020-08-28 5:42,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,52,Male,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,3,5,4,5,2,4,4,3,3,"1,2,3",Augumented reality,Birds flitting,park environment,"1,2,3",Office gossips,stacy wiped a tear,Stacy nearly forgot that Amir wasn’t actually with her until a pigeon flew ,No,I was not like this such system of meetings through holography.,Rarely if ever,"Planning,Detailed review of work,Regular progress update",,Someone I supervise,"The scenario is something like funny so, I just like serious arguments are add this scenario.","In this scenario Amir's character is just funny so, I add some serious character like stacy.",5,4,5,105,I take some emergency suitions.,I have read the scenario above,5,2,5,2,5,3,4,2,5,1,"1,2,3",Augumented reality glass,Pedro's attitudes towards physics class,Muller's visit the park every friday afternoon,"1,2,3",Pedro get tired,Muller move tree to tree,Pedro use 3D virtual glass,Yes,I like this system and I like to use AR virtual glass system.,Monthly,"Practical course,Theoretical course",,"Students I am close with,A lecturer",The scanario is better if many students appears in this scanaio including pedro.,I like the lecture's movement and enjoying nature with the park.,5,5,4,112,I use this technology for my physical purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In this study the two scenarios are very insteresting to read. I gain experience with this study.
2020-08-27 3:41,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,39,Female,USA,I have never participated in a walking meeting,I have read the scenario above,4,1,5,1,5,1,5,2,4,1,"1,2,3",the setting,Instant summary,free thinking,"1,2,3",inability to take notes,inability to bring notes,thinking and walking,Yes,I would love to give it a try as I don't usually talk while I walk I wonder how much talking I would do.,Weekly,Regular progress update,,Colleagues I am close with,An opportunity to make changes to the summary manually if gestures failed.,It would depend on the type of meeting. Notes or not and a tracker to help me stay on the moment while using a VR,4,4,4,105,Psychology and therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,1,5,1,5,1,5,1,5,1,"1,2,3",flexible times,ability to start and stop,Being outside,"1,2,3",wearing the glasses,being outside with the glasses,Technical errors,No,I would not want to be outside and unable to keep an eye on my surroundings,Rarely if ever,Theoretical course,,A lecturer,Estimated lengths of time to complete,Nothing as I can't see utilizing things unless a stop is scheduled in the midst of the walking meeting,5,4,4,120,Historical walks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
2020-08-27 4:42,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,57,Female,USA,I have never participated in a walking meeting,,,,,,,,,,,,,,,,,,,,,,,"Planning,Regular progress update",,"Colleague,Colleagues I am close with",,I would not bring anything else because the location is mobile.,4,4,4,,,I have read the scenario above,5,1,4,1,5,1,3,1,3,1,"1,2,3",ability to interact with people,able to be in a convenient location,records of meetings,"1,2,3",still physically alone,recordings of entire conversations,lack of human touch,Yes,It is a great way to supplement in-person human interaction.,Weekly,,,,"Nothing, it's very comprehensive.",,,,,55,Meetings for community groups.,I have read the scenario above,5,1,4,1,5,1,4,1,3,1,"1,2,3",It is interactive,Flexible schedule,Interesting and stimulating environments,"1,2,3",working alone,lack of interaction with a real person,requires self-discipline to attend,Yes,I would use this system as a supplement to an in-person meeting because it would be an additional way to interact and learn. Variety is important for continued engagement.,Weekly,,,,Add an option for additional people to attend.,,,,,60,Group meetings for church and community.,,,,,,,,,,,,,,,,,,,,,,,Practical course,,"Students I am close with,A lecturer",,I would not bring anything else because this is a mobile interaction and I wouldn't want to worry about carrying extraneous items with me.,4,4,4,,,"This is a fascinating area to explore. As much as I love technology and the ability to interact in new ways, I do wonder about the absence of human touch in our lives and the long-term affects."
2020-08-27 3:37,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,27,Male,USA,Walking meetings are a regular part of my routine,I have read the scenario above,5,2,4,2,5,3,4,2,5,1,"1,2,3",meeting with client,collecting summary of the meeting,young energetic engineer,"1,2,3",not like as real conversation,need a better understanding,need a better environment,Yes,it is really helps to improve my decision making skills,Daily,"Brainstorming/ideation,Planning,Detailed review of work,Regular progress update",,"Supervisor,Colleague,Someone I supervise,Colleagues I am close with",nothing,relaxation excercise,4,5,4,130,to solve my problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,1,4,2,5,2,5,1,4,2,"1,2,3",taking virtual glass,learning new things,understand the concept,"1,2",went to the park,tiredness,,Yes,this system really helps to improve the online class,Daily,"Practical course,Theoretical course",,"Other students,Students I am close with,A lecturer",to add some interactive elements,it is absolutely perfect one to follow,4,5,4,120,to find the problem solving skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it is really helps to improve my decision making skills
2020-08-27 5:02,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,23,Female,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",,,,,,,,,,,,,,,,,,,,,,,Planning,,Colleagues I am close with,,Some technical products was used for very faster,4,3,3,,,I have read the scenario above,4,2,5,1,4,2,5,1,5,2,"1,2,3",Stacy is a bright young developer.,fountain had become favourite.,more like a piece of memory.,"1,2,3",delete the segment of notes.,She was waved at his slightly translucent. ,musings never turned into actual suspicions.,Yes,It was very useful.,Weekly,,,,none,,,,,100,none,I have read the scenario above,4,2,3,1,4,2,4,3,4,2,"1,2,3",Beautiful sunny day walk in the park.,He could intreract with the complete the excercise.,she movedfrom the park the tree is fountain onwards.,"1,2,3",Gps is tracking ,there is still more 4 segments.,very duff.,Yes,It was very interesting and unique.,Weekly,,,,none,,,,,50,none,,,,,,,,,,,,,,,,,,,,,,,Practical course,,Students I am close with,,nothing it's perfect.,4,3,4,,,none
2020-08-27 7:17,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,56,Female,USA,I have never participated in a walking meeting,I have read the scenario above,5,2,5,1,5,1,5,2,5,1,"1,2,3",System takes notes for you.,Ability to make corrections.,Ability to emphasize important points or tasks to be done later.,"1,2,3","Everything you do is monitored so it feels like ""big brother is watching"".",Could be a little complex to learn all the right gestures to emphasize or delete.,Unclear what happens if something unexpected happens like you need to take an urgent call or an event takes place at the park where you need to exit the meeting.,Yes,I would try it as it seems more effective than the other example.  I especially like the fact that the notes are taken automatically.,Weekly,"Brainstorming/ideation,Planning,Regular progress update",,"Supervisor,Colleague,Someone I supervise,Colleagues I am close with",Would need a lot more background on how the system works to understand complexity around various gestures and such.  Even just an insect around you may cause a lot of unplanned gestures so how would that register on the meeting recording?,Probably would not need to bring anything since the notes are taken by the system and assume you could listen to a past segment of meeting again later if needed.,5,5,5,40,Any situation where you want to talk with someone and have a record of the important points.  Maybe a doctor's visit where you want to refer to emphasized points about illness and treatment later...and you could have family members or other concerned parties join the appointment remotely so they were aware of latest conditions too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,1,4,1,3,1,3,1,3,1,"1,2,3",Enjoy the outdoor setting as a peaceful place to hold class.,Ability to move around while still participating in the lecture.,Ability to see the professor versus just listen to a recorded audio.,"1,2,3",Potential for distraction with other park activities.,Harder to take notes as writing in the air is not visible to the writer.,Seems unnecessarily complex to the alternative to just listening to the lecture on audio.,No,"I may use it once or twice just for the novelty, but it seems a bit like holding class outdoors on a nice day.  It's nice to get outside, but generally you are pretty distracted by other things going on around you.",Rarely if ever,Theoretical course,,Students I am close with,"The VR idea is fine, but I would choose a place that is quieter where you can focus on the lecturer...maybe a library or other quiet room.","I would bring something to take notes where the notes can be seen while writing.  If you've ever tried to write in the air, or write without looking, it's typically not readable afterwards.",2,2,2,60,"Use for a tour of an actual site and/or process.  Let's say you wanted to show students a manufacturing site.  They could have a virtual tour of the manufacturing process in work, or possibly a tour of an operating room while staff prepped for surgery or conducted a procedure.",None
2020-08-27 4:10,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,30,Male,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,2,5,2,5,5,5,2,5,2,"1,2,3",flitting from tree,In her 4 months working at the Tokyo office,remember a certain path,"1,2,3",eye  recovered,difference between recorded memories and real memories,standing beside her,Yes,everyone need to take care about his/her health .. so she walking its a good for health for  body side ,Weekly,Regular progress update,,Colleague,give some more stable fatalist ,nothing,5,4,3,80,we need technology but that's not mean its over our life  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,4,5,2,5,5,4,2,5,2,"1,2,3",town or city where you can walk through nature,"required for the course, but this was 2030",her AR system was always with her anyway.,"1,2,3","A large 3D model floated beside the professor,",She was stuck at one point and luckily her question,"He felt a strange sense of community knowing that over 1,000 students had walked through local parks in over 30 countries",No,No i don't like it ... because AI is AI  its not human ,Monthly,Theoretical course,,"Students I am close with,A lecturer",i want hymen not AI ,nothing,5,4,4,40,A watch ,No 
2020-08-27 4:12,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,31,Male,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",,,,,,,,,,,,,,,,,,,,,,,"Planning,Detailed review of work",,"Colleague,Someone I supervise",,Notes and accessories ,4,5,4,,,I have read the scenario above,5,2,4,2,4,4,3,2,4,1,"1,2,3",AR glass interaction like live meeting,3D hologram ,Interaction record ,"1,2,3",Time variation some time not suit for meeting,Location finding hard,Amir get half hour to go to park,No,I never attend meeting like,Weekly,,,,Nothing,,,,,100,Project review meeting,I have read the scenario above,5,2,4,3,4,4,3,2,4,1,"1,2,3",Class at park,Nature,3D AR virtual class,"1,2,3",Too many segment,Moving location to location,Interaction problem,No,I never attend meeting like,Weekly,,,,From home it can be better,,,,,100,Students lecture,,,,,,,,,,,,,,,,,,,,,,,Practical course,,"Students I am close with,A lecturer",,Make recording can optional,5,4,4,,,Good interesting 
