,id,startlanguage,D001,D002,D003,D004,D005,M001,M002,M003,T001_SQ001,T001_SQ002,T001_SQ003,T001_SQ004,T001_SQ005,T001_SQ006,T001_SQ007,T001a,T002_SQ001,T002_SQ002,T002_SQ003,T002_SQ004,T002_SQ005,T002_SQ007,T003_SQ001,T003_SQ002,T003_SQ003,T003_SQ004,T003_SQ005,T003a,T004_SQ001,T004_SQ002,T004_SQ003,T004_SQ004,T004_SQ005,T004_SQ006,T004_SQ007,T004a,MM001,WM002_SQ001,WM002_SQ002,WM002_SQ003,WM002_SQ004,WM002_SQ005,WM002_SQ006,WM002_SQ007,WM002_SQ008,WM002a,MM002_SQ001,MM002_SQ002,MM002_SQ003,MM002_SQ004,MM002_SQ005,MM002_SQ006,MM002_SQ007,MM002_SQ008,MM002a,MM003_SQ001,MM003_SQ002,MM003_SQ003,MM003_SQ004,MM003_SQ005,MM003_SQ007,MM003_SQ006,MM003a,MM003b_SQ001,MM003b_SQ002,MM003b_SQ003,MM003b_SQ004,MM003b_SQ005,MM003b_SQ006,MM004_SQ001,MM004_SQ002,MM004_SQ003,MM004_SQ004,MM004_SQ005,MM004a,AC001
11,22,en,30,Male,NA,tax prep,USA,Less than once per week,Less than once per week,Less than 30 minutes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,taking notes,looking things up,NA,"nothing, I just always have it with me",NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,"nothing, it would just be with me",NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,NA
12,23,en,23,Male,NA,engineer,USA,Once per week,Once per week,Less than 30 minutes,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,NA,NA,NA,to show image of new tool or new technique to solve mechanical fault,NA,to hear the voice note of general manager if not around.,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,to write short note on my message draft.,NA,NA,Yes,Yes,Not selected,Yes,Not selected,NA,NA
13,24,en,25,Male,NA,food analyst,USA,Several times per week,Several times per week,30 minutes to 1 hour,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,NA,visual interactions,taking notes,NA,NA,NA,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA,NA,NA,NA,recording conversations,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
14,25,en,68,Male,NA,manager,washington,Less than once per week,Once per week,Less than 30 minutes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,my persnal meeting,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,my persnal,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,nice
15,26,en,28,Male,NA,date entry,USA,Once per week,Several times per week,1 to 2 hours,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,jop,NA,facebook,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,work,NA,NA,NA,NA,Not selected,Not selected,Yes,Not selected,Not selected,NA,good
16,27,en,40,Male,NA,Restaurant Supervisor,United States,Several times per week,Less than once per week,30 minutes to 1 hour,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,I take notes on deadlines and new procedures.,NA,NA,Taking down important phone numbers I may need,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,Taking notes,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,NA
17,28,en,29,Female,NA,manager,USA,Less than once per week,Less than once per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,taking notes,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,taking notes,NA,NA,NA,NA,Yes,Yes,Not selected,Not selected,Not selected,NA,NA
18,30,en,35,Male,NA,Information Technology,United States,Once per week,Several times per week,Less than 30 minutes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,"Taking notes, marking information handouts, and signing papers.",Looking up information and referencing information.,NA,"Adding information to contacts, calendar, etc.",NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Not selected,Yes,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Not selected,Yes,Yes,Yes,Yes,Not selected,NA,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,"Looking up information, writing notes and recording notes.",NA,NA,Yes,Yes,Yes,Yes,Not selected,NA,NA
19,31,en,26,Male,NA,Self Employed,United States of America,Less than once per week,Less than once per week,Less than 30 minutes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,To take any notes that might be important.,NA,NA,To have on me in case someone outside the meeting needs to contact me.,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,So that I could be contacted if need be.,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA
20,32,en,28,Male,NA,matketing,usa,Once per week,Several times per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,nothing,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,nothing,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,good survey
21,33,en,50,Female,NA,Small business owner,US,Multiple times per day,Multiple times per day,30 minutes to 1 hour,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,zoom google hanout,NA,facetime,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,google hangouts and facetime,NA,NA,Yes,Yes,Yes,Not selected,Not selected,NA,NA
22,34,en,33,Male,NA,stocker,united states,Every day,Several times per week,1 to 2 hours,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,to recording information and type in letters.,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
23,35,en,36,Male,NA,sales,usa,Every day,Every day,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,note taking or showing something,NA,NA,NA,NA,Not selected,Yes,Not selected,Yes,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Not selected,Not selected,NA,NA
24,36,en,56,Female,NA,local gvt clerk,USA,Once per week,Less than once per week,30 minutes to 1 hour,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,writing a few reminders,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,too many distractions,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,write notes,NA,NA,NA,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,NA
25,37,en,31,Male,NA,Analyst,USA,Every day,Several times per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,"note taking, checking emails",NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
26,38,en,39,Male,NA,reshipping supervisor,united states,Every day,Every day,Less than 30 minutes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Not selected,NA,none really
27,39,en,35,Female,NA,Financial Analyst,United States,Once per week,Less than once per week,30 minutes to 1 hour,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,taking notes on important information given in the meeting.,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,NA
28,40,en,43,Male,NA,Professor,USA,Less than once per week,Less than once per week,Less than 30 minutes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,taking notes,googling things,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,notes,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
29,41,en,28,Male,NA,nurse,USA,Less than once per week,Less than once per week,Less than 30 minutes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Yes,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,record voice notes,NA,NA,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA
30,42,en,25,Male,NA,manager,us,Several times per week,Several times per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,5,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA
31,44,en,28,Male,NA,construction,usa,Several times per week,Once per week,Less than 30 minutes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,"presentation, taking notes",NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,notes,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
32,45,en,33,Male,NA,data entry,United States,Less than once per week,Less than once per week,Less than 30 minutes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,taking notes,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
33,47,en,31,Male,NA,customer care executive,USA,Once per week,Once per week,1 to 2 hours,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,Write up,NA,post messages,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,posting information,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
34,48,en,26,Female,NA,Vet Tech,USA,Several times per week,Several times per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,Note taking,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,note taking,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA
35,49,en,38,Male,NA,cook,United States,Several times per week,Every day,Less than 30 minutes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,notes,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Never,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,notes,NA,NA,Yes,Yes,Not selected,Yes,Not selected,NA,NA
36,50,en,24,Male,NA,Account Officer,USA,Every day,Less than once per week,1 to 2 hours,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,Work,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,Taking notes,NA,NA,NA,NA,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA
37,51,en,36,Male,NA,sales,usa,Every day,Every day,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,notes,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Yes,Not selected,Not selected,Yes,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,notes,NA,NA,Yes,Yes,Yes,Yes,Not selected,NA,NA
